Date,Open,High,Low,Close,Volume
2017-07-10,460,460,442.55,446.95,1189742
2017-07-11,452,462.3,451,456.95,12069006
2017-07-12,461,463.8,456.6,461,6051540
2017-07-13,464.5,464.5,455.55,459.05,4382063
2017-07-14,460,460,450.4,451.3,3974269
2017-07-17,455,458.35,453.25,454.15,4922453
2017-07-18,452.6,459.5,452.6,456.15,2349268
2017-07-19,453,462.9,453,460.6,3395937
2017-07-20,463.5,464.35,457.35,460.15,3318626
2017-07-21,460,465.9,457.6,464.6,3150269
2017-07-24,464.95,468.35,461,464,3773074
2017-07-25,462.15,464.7,454.7,456.1,7052112
2017-07-26,457.2,458.7,455,457.3,3641559
2017-07-27,459,460.95,440.3,445.4,13738611
2017-07-28,444.6,447.45,442.45,445.85,3365171
2017-07-31,446.25,449.7,443.7,444.6,3804621
2017-08-01,446.55,452.35,445.7,446.9,4012791
2017-08-02,449.5,449.95,438.15,440.35,4045533
2017-08-03,441,441.5,429.6,431.45,6197142
2017-08-04,435.1,438.75,433.45,435.6,4166729
2017-08-07,438.6,439.8,425.3,430,6461815
2017-08-08,432,435.5,426,430,7134979
2017-08-09,428.8,429.9,415,416.05,10849567
2017-08-10,401,403.6,375.25,380.2,28114017
2017-08-11,376,379.1,358.5,374.5,14699477
2017-08-14,380,381.8,372.6,375.4,8216208
2017-08-16,379.45,390.7,375.5,389.25,11019760
2017-08-17,392.45,392.45,384.5,385.3,5971420
2017-08-18,381.75,383,377,380.4,5856198
2017-08-21,382,382.55,371.3,374.35,5123101
2017-08-22,378.8,379.95,372.25,373.6,4163794
2017-08-23,376,381.15,373.35,379.95,4448871
2017-08-24,380.1,385.95,380.1,384.15,5208541
2017-08-28,385.85,387.4,378.3,379.3,4403872
2017-08-29,379,382.35,374.45,376.1,4689547
2017-08-30,380.85,382.75,377.45,378.5,3734824
2017-08-31,380.05,380.45,375.8,376.55,4685511
2017-09-01,379.35,392.85,378.65,390.85,7380325
2017-09-04,393,396.05,380.5,383.4,8433560
2017-09-05,385.7,389.5,383.4,388.15,4477993
2017-09-06,385,386.7,381.85,382.7,5953907
2017-09-07,383.7,384.4,376,378.15,7938665
2017-09-08,381,381.8,374.05,375.05,7471355
2017-09-11,380,380,374.2,375.3,5402725
2017-09-12,378.7,390,375.5,388.25,9266823
2017-09-13,391,393.95,387.2,389.65,6537279
2017-09-14,390.75,406.6,390.25,404.4,11476571
2017-09-15,402.85,406.75,400,401.75,9675506
2017-09-18,411.85,413,403.2,404.95,8966503
2017-09-19,415,427.7,414,423.65,28208471
2017-09-20,422.75,422.75,413,414.8,5179160
2017-09-21,415.4,418.45,408.8,413.65,6946502
2017-09-22,414,422.15,408.85,411.8,9781308
2017-09-25,413.65,415.3,404.6,408.2,6957357
2017-09-26,409.4,413.9,403.3,411.25,5077291
